Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
vr1-ev-bike,VR1 Ev bike,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"dslr-camera, electirc, lightslategray, salmon, silver",true,Color,Green,,,,,abccd-14,0.0,shopify,60,deny,manual,22.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13.jpg?v=1703747505,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13.jpg?v=1703747505,lb,,325.00,true,,,true,,,active
vr1-ev-bike,,,,,,,,,Purple,,,,,abccd-15,0.0,shopify,55,deny,manual,23.00,25.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13-a.jpg?v=1703747505,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13-a.jpg?v=1703747505,lb,,325.00,,,,,,,
vr1-ev-bike,,,,,,,,,Blue,,,,,"",0.0,shopify,0,deny,manual,21.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13-b.jpg?v=1703747505,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-13-b.jpg?v=1703747505,lb,,325.00,,,,,,,
digital-front-display,Digital front display,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"air-fryer, electirc, lightslategray, silver, steelblue",true,Color,LightSlateGray,,,,,abccd-11,0.0,shopify,66,deny,manual,44.00,49.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12.jpg?v=1703747175,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12.jpg?v=1703747175,lb,,249.00,true,,,true,,,active
digital-front-display,,,,,,,,,SteelBlue,,,,,abccd-12,0.0,shopify,30,deny,manual,45.00,49.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-a.jpg?v=1703747175,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-c.jpg?v=1703747175,lb,,249.00,,,,,,,
digital-front-display,,,,,,,,,Silver,,,,,abccd-13,0.0,shopify,42,deny,manual,46.00,49.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-b.jpg?v=1703747175,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-b.jpg?v=1703747175,lb,,249.00,,,,,,,
digital-front-display,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-c.jpg?v=1703747175,4,,,,,,,,,,,,,,,,,,,,,,,,,,
digital-front-display,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-12-d.jpg?v=1703747175,5,,,,,,,,,,,,,,,,,,,,,,,,,,
sloat-storage-battery,Sloat storage battery,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"1tb, 2tb, 500gb, electirc, lavender, lightslategray, notebook-horizon, silver",true,Size,500gb,Color,Silver,,,abccd-18,0.0,shopify,70,deny,manual,52.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11.jpg?v=1703747020,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11.jpg?v=1703747020,lb,,199.00,true,,,true,,,active
sloat-storage-battery,,,,,,,,,500gb,,LightSlateGray,,,abccd-19,0.0,shopify,0,deny,manual,54.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-a.jpg?v=1703747020,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-11-c.jpg?v=1703747020,lb,,199.00,,,,,,,
